Site_Name,Phase,Activity Name,Equipment,Activity ID,Team,Employee,Planned Start,Planned Completion,Status,Actual Start Date,Completed Date,Percentage Complete,Task Duration,Float,Complexity
300 - hot area,04-CLEANING,Preparations for magnetic testing / brushing,093-8511,093-8511-5672,Mechanical,AROJE,2/23/2022,2/24/2022 9:30,Completed,2/27/2022 14:48,2/27/2022 14:48,,8,41.5,1
300 - hot area,04-CLEANING,Tank cleaning including instrumentation connections,093-5902,093-5902-5074,Mechanical,Dmichael,2/27/2022,3/1/2022 7:00,Completed,2/23/2022 17:56,2/23/2022 17:56,,24,133,1
180,01-PRE STO,Scaffold Construction,C180-F206B,C180-F206B-43844,Mechanical,Sboris,1/23/2022,1/23/2022 17:00,Completed,2/16/2022 10:34,2/17/2022 17:44,,9,580,1
180,01-PRE STO,Insulation disassembly,C180-F206B,C180-F206B-43845,Mechanical,Sboris,1/23/2022,1/24/2022 9:00,Completed,2/16/2022 10:34,2/17/2022 17:44,,4,580,1
400,,IWR Pressure tests acceptance 112-6001,112-6001,3cf57a50-e482-4f13-ae8a-27f58263455d,Inspections,Hmoshe,2/16/2022,2/16/2022 17:29,Completed,2/15/2022 7:56,2/15/2022 7:57,,,,
400,,IWR Visual test 111-6101,111-6101,4ad6303c-5315-4eac-b668-4b94fcae218c,Inspections,Hmoshe,2/1/2022,2/1/2022 11:59,Completed,2/6/2022 12:13,2/6/2022 12:14,,,,
400,07-REASSEMBLY,Pressure tests acceptance,111-6001,111-6001-9636,Inspections,Hmoshe,2/8/2022,2/8/2022 12:30,Completed,2/11/2022 10:25,2/11/2022 10:27,30,3,296,1
400,07-REASSEMBLY,removing spades / fig 8,111-6001,111-6001-9637,Mechanical,KHTARE,2/8/2022,2/8/2022 16:30,Start time failed,,,,4,0,1
300 - hot area,04-CLEANING,Cleaning covers,111-8801B,111-8801B-7483,Mechanical,KHTARE,2/18/2022,2/18/2022 11:30,Completed,2/21/2022 4:37,2/21/2022 4:37,100,3,373,1
300 - hot area,04-CLEANING,Cleaning shell,111-8801B,111-8801B-7484,Mechanical,KHTARE,2/18/2022,2/18/2022 15:30,Completed,2/24/2022 9:05,2/24/2022 9:06,100,4,213.5,1
400,08-TURNOVER,Leak test,161-6004BLDAR,161-6004BLDAR-6789,Operations,Mroee,3/16/2022,3/16/2022 5:00,Not started,,,,3,148.5,1
400,02-SHUTDOWN,Stopping of feed to the section,161-6102BLDAR,161-6102BLDAR-6796,Operations,Mroee,1/30/2022,1/30/2022 10:00,Completed,1/30/2022 14:45,1/30/2022 14:45,,2,1055.5,1
180,02-SHUTDOWN,Stopping of feed to section,C180-F206B,C180-F206B-43848,Operations,Operatinspec1,2/6/2022,2/6/2022 17:00,Completed,2/8/2022 14:57,2/8/2022 14:57,,9,865,1
180,02-SHUTDOWN,Liquid emptying,C180-F206B,C180-F206B-43849,Operations,Operatinspec1,2/6/2022,2/7/2022 2:00,Completed,2/11/2022 11:17,2/11/2022 11:17,,9,865,1
